PDF_Filename,fake code category,random code,final_fake_code,fake_grade,maker pn
1N4728A_SER.pdf,0402,696,0402-000696,A,1N4728A
BZB784_SER.pdf,0402,4580,0402-004580,A,BZB784
BZX38450-Q_SER.pdf,0402,3473,0402-003473,A,BZX38450-B1V8-Q
BZX58550_SER.pdf,0402,4645,0402-004645,C,BZX58550-B1V8
1PS10SB82.pdf,0404,3375,0404-003375,A,1PS10SB82
1PS66SB82_1PS88SB82.pdf,0404,1627,0404-001627,F,1PS66SB82
1PS70SB20.pdf,0404,5087,0404-005087,A,1PS70SB20
PMEG2010EPK.pdf,0404,1329,0404-001329,B,PMEG2010EPK
bzx84wc15v.pdf,0406,2797,0406-002797,F,BZX84WC15V
bzx84wc27v.pdf,0406,3368,0406-003368,F,BZX84WC27V
bzx84wc39v-q1.pdf,0406,3762,0406-003762,B,BZX84WC39V-Q1
bzx84wc8v2.pdf,0406,9337,0406-009337,B,BZX84WC8V2
tsd12.pdf,0406,4849,0406-004849,A,TSD12
tsd24.pdf,0406,4770,0406-004770,A,TSD24
tsm36a-q1.pdf,0406,6134,0406-006134,A,TSM36A-Q1
tsm36ca.pdf,0406,6192,0406-006192,F,TSM36CA
74ABT08.pdf,0801,262,0801-000262,B,74ABT08D
74AHC_AHCT02.pdf,0801,3182,0801-003182,D,74AHC02
74AHC_AHCT1G32.pdf,0801,5053,0801-005053,F,74AHC1G32
74AXP1G08.pdf,0801,3101,0801-003101,A,74AXP1G08
74HC_HCT1G02.pdf,0801,5970,0801-005970,D,74HC1G02
74HC_HCT1G32.pdf,0801,4340,0801-004340,F,74HC1G32
74HC20.pdf,0801,5966,0801-005966,D,74HC20D
74LVC1G08.pdf,0801,6035,0801-006035,C,74LVC1G08GW
74LVC1G27.pdf,0801,9750,0801-009750,B,74LVC1G27GW
74LVC32A.pdf,0801,1735,0801-001735,A,74LVC32AD
HEF4093B.pdf,0801,991,0801-000991,A,HEF4093BT
sn74act08-q1.pdf,0801,7343,0801-007343,D,SN74ACT08-Q1
sn74act32-q1.pdf,0801,5483,0801-005483,E,SN74ACT32-Q1
sn74ahc1g09-q1.pdf,0801,8200,0801-008200,A,SN74AHC1G09-Q1
sn74auc2g32.pdf,0801,5876,0801-005876,E,SN74AUC2G32
sn74hcs4075.pdf,0801,8071,0801-008071,B,SN74HCS4075DR
sn74lvc11a.pdf,0801,1719,0801-001719,C,SN74LVC11A
sn74lvc7032a-q1.pdf,0801,8157,0801-008157,B,SN74LVC7032A-Q1
opa1633.pdf,1001,8855,1001-008855,D,OPA1633
opa1637.pdf,1001,9656,1001-009656,A,OPA1637
opa376.pdf,1001,4004,1001-004004,F,OPA376
opa891.pdf,1001,1531,1001-001531,C,OPA891
DS8306-00QV.pdf,1003,3429,1003-003429,F,DS8306
DS8577A-02.pdf,1003,1294,1003-001294,B,DS8577A
DSQ4554 -QT-00.pdf,1003,3076,1003-003076,C,DSQ4554
JW1120_Datasheet_FirstPage.pdf,1003,5494,1003-005494,F,JW1120
JW1123_Datasheet_FirstPage.pdf,1003,4749,1003-004749,F,JW1123
JW1130H_Datasheet_FirstPage.pdf,1003,7298,1003-007298,F,JW1130H
lp5867.pdf,1003,106,1003-000106,A,LP5867
m24256e_f-29040246.pdf,1003,2789,1003-002789,B,M24256E
NCR401T.pdf,1003,3540,1003-003540,D,NCR401T-F
NCR420PAS_NCR421PAS.pdf,1003,7690,1003-007690,A,NCR420PAS
tlc69627-q1.pdf,1003,5078,1003-005078,B,TLC69627-Q1
tps92402.pdf,1003,1351,1003-001351,F,TPS92402
AT24CSW01X_AT24XSW02X_I2C_Compatible__Two_Wire__Se-3499854.pdf,1103,6691,1103-006691,E,AT24CSW01X
AT24CSW04X_AT24CSW08X_I2C_Compatible__Two_Wire__Se-3443131.pdf,1103,4345,1103-004345,B,AT24CSW04X
CAT24C01_D-1773581.pdf,1103,5444,1103-005444,F,CAT24C02
CAT24C32BAC4_D-3517983.pdf,1103,4257,1103-004257,A,CAT24C32BAC4
CAT24C512_D-2310637.pdf,1103,8588,1103-008588,A,CAT24C512
CAT93C86B_D-1802866.pdf,1103,2429,1103-002429,D,CAT93C86B
DS2430A-3122485.pdf,1103,7021,1103-007021,B,DS2430A
DS28E80-3468058.pdf,1103,2870,1103-002870,D,DS28E80
I2C Serial EE Family Data Sheet 21930C.pdf,1103,998,1103-000998,F,24AA00
NCR320PAS_NCR321PAS.pdf,1103,3498,1103-003498,A,NCR320PAS
lm25118-q1.pdf,1107,4785,1107-004785,A,LM25118-Q1
s71271_04.pdf,1107,3055,1107-003055,F,SST25VF016B
w25m512jv revd 09052017.pdf,1107,8591,1107-008591,A,W25M512JV
W25N01GV Rev R 070323.pdf,1107,5665,1107-005665,D,W25N01GV
w25q128fv rev.m 05132016 kms.pdf,1107,6701,1107-006701,B,W25Q128FV
w25q128fw revk 05182017.pdf,1107,7139,1107-007139,B,W25Q128FW
W25Q128JV RevM 12242024 Plus.pdf,1107,1902,1107-001902,D,W25Q128JV
W25Q128JW_RevH_04172023 Plus.pdf,1107,3017,1107-003017,A,W25Q128JW
W25Q12PW RevC 03142024.pdf,1107,7607,1107-007607,A,W25Q12PW
w25q256fv revi 02262016 kms.pdf,1107,6016,1107-006016,A,W25Q256FV
W25Q256JV SPI RevQ 02072025 Plus.pdf,1107,7016,1107-007016,D,W25Q256JV
W25Q257JV SPI RevB 05032017.pdf,1107,5420,1107-005420,B,W25Q257JV
W25Q25PW SPI RevE 03102025.pdf,1107,6733,1107-006733,E,W25Q25PW
W25Q32JV RevJ 12242024 Plus.pdf,1107,2418,1107-002418,F,W25Q32JV
W25Q32JW SPI RevH 03172020 Plus.pdf,1107,289,1107-000289,F,W25Q32JW
W25Q33PW_SPI RevC 01082025.pdf,1107,4981,1107-004981,F,W25Q33PW
W25Q512JV SPI RevH 07192023 Plus.pdf,1107,7424,1107-007424,A,W25Q512JV
W25Q512NW RevF 10042024 Plus.pdf,1107,9542,1107-009542,B,W25Q512NW
DS9114B-03.pdf,1201,2099,1201-002099,A,DS9114B
DS9120M-00.pdf,1201,8494,1201-008494,E,DS9120M
RT9123_DS-02.pdf,1201,7738,1201-007738,A,RT9123
RTQ9126DL-QA_DS-01.pdf,1201,5161,1201-005161,E,RTQ9126DL-QA
RTQ9128DH-QA_DS-01.pdf,1201,5035,1201-005035,B,RTQ9128DH-QA
DS_SY22121.pdf,1203,3186,1203-003186,A,SY22121
JW5070_Datasheet_FirstPage.pdf,1203,1120,1203-001120,E,JW5070
JW5079A_Datasheet_FirstPage.pdf,1203,3901,1203-003901,E,JW5079A
JW5126_Datasheet_FirstPage.pdf,1203,9536,1203-009536,F,JW5126
JW5143_JW5143P_Datasheet_FirstPage.pdf,1203,1348,1203-001348,F,JW5143
JW5188DH_Datasheet_FirstPage.pdf,1203,9568,1203-009568,F,JW5188DH
JW5262NF_Datasheet_FirstPage.pdf,1203,9918,1203-009918,F,JW5262NF
JW5701B_Datasheet_FirstPage.pdf,1203,1252,1203-001252,D,JW5701B
JW5702_Datasheet_FirstPage.pdf,1203,362,1203-000362,D,JW5702
JWH5123S_JWH5123P_Datasheet_FirstPage.pdf,1203,2717,1203-002717,B,JWH5123S
JWH5141_JWH5141F_Datasheet_FirstPage.pdf,1203,2880,1203-002880,B,JWH5141
lp5814.pdf,1203,1766,1203-001766,B,LP5814
NEX30606.pdf,1203,9471,1203-009471,D,NEX30606
NEX40400.pdf,1203,6931,1203-006931,B,NEX040400
tps542025.pdf,1203,5672,1203-005672,A,TPS542025
tps5430.pdf,1203,8301,1203-008301,B,TPS5430
tps54331.pdf,1203,6618,1203-006618,A,TPS54331
tps54338.pdf,1203,8919,1203-008919,B,TPS54338
tps5450.pdf,1203,9243,1203-009243,A,TPS5450
tps62a03a.pdf,1203,9289,1203-009289,F,TPS62A03A
tps92541-q1.pdf,1203,1470,1203-001470,F,TPS92541-Q1
